t,b,s,h,l,v
1580005879,8322.63,8323.63,8420,8282.25,22175.303749
1580005879,8322.64,8323.63,8420,8282.25,22175.303749
1580005879,8322.63,8323.63,8420,8282.25,22175.191663
1580005880,8322.58,8323.53,8420,8282.25,22175.191663
1580005880,8322.58,8323.5,8420,8282.25,22175.191663
1580005880,8322.58,8323.47,8420,8282.25,22175.191663
1580005880,8322.58,8323.43,8420,8282.25,22175.191663
1580005880,8322.6,8323.42,8420,8282.25,22175.191663
1580005880,8322.61,8323.48,8420,8282.25,22175.191663
1580005880,8322.62,8323.48,8420,8282.25,22175.191663
1580005880,8322.63,8323.48,8420,8282.25,22175.191663
1580005880,8322.63,8323.48,8420,8282.25,22175.191663
1580005880,8322.63,8323.48,8420,8282.25,22175.191663
1580005881,8322.64,8323.57,8420,8282.25,22175.392275
1580005881,8322.65,8323.57,8420,8282.25,22175.392275
1580005881,8322.67,8323.57,8420,8282.25,22175.392275
1580005881,8322.69,8323.57,8420,8282.25,22175.392275
1580005881,8322.73,8323.57,8420,8282.25,22175.197933
1580005881,8322.74,8323.57,8420,8282.25,22175.197933
1580005881,8322.74,8323.57,8420,8282.25,22175.197933
1580005881,8322.74,8323.57,8420,8282.25,22175.197933
